epoch good_track epoch_time year month day id_sat Azi_ini Azi_end ele_ini ele_end A desvA Phi desvPhi ref_height SatelliteDirection
8148.0 yes 19.81527777777778 2019 1 14 12 73.5 102.1 30.0 5.0 26.162224860167242 0.8469660054092132 233.83186926708663 0.03288632405809536 1.78 satellite-falling
25379.0 yes 19.747222222222224 2019 1 15 12 73.5 102.1 30.0 5.0 26.38787908786869 0.856969664984582 234.10342003444293 0.032990761766966144 1.824 satellite-falling
38611.0 yes 14.125 2019 1 16 12 204.4 211.5 5.0 30.0 -28.274974872353525 1.1765820859024398 67.72559656841077 0.04244721612239332 1.872 satellite-rising
42611.0 no 19.680555555555557 2019 1 16 12 73.5 101.3 30.0 5.8 26.676463234968086 0.8557235953314006 235.58906683157852 0.03215448872209547 1.795 satellite-falling
55843.0 yes 14.058333333333334 2019 1 17 12 204.4 211.5 5.1 30.0 -27.85106852358135 1.2159659356697874 66.22547622848879 0.04455025516623035 1.875 satellite-rising
59843.0 yes 19.61388888888889 2019 1 17 12 73.5 102.1 30.0 5.0 -26.29500145723046 0.8088383383513336 58.11709977912619 0.03117286114233884 1.826 satellite-falling
73074.0 yes 13.990277777777777 2019 1 18 12 204.4 211.5 5.0 30.0 -28.013875204634903 1.3011641614921392 68.2779874932096 0.04738161619091513 1.872 satellite-rising
77074.0 yes 19.545833333333334 2019 1 18 12 73.5 102.2 30.0 5.0 -27.50845295500931 0.8373451533718534 58.91606832263824 0.030974937476622368 1.824 satellite-falling
90306.0 no 13.92361111111111 2019 1 19 12 204.4 211.6 5.1 30.0 -25.40871476689779 1.209123042463433 153.88343309412676 0.15716778154603897 1.875 satellite-rising
94306.0 yes 19.479166666666664 2019 1 19 12 73.6 102.2 30.0 5.0 -26.574047135073435 0.8572646456549222 60.21938188541094 0.03272689881163906 1.824 satellite-falling
107537.0 yes 13.855555555555556 2019 1 20 12 204.4 211.6 5.0 30.0 27.053258973160272 1.1963413140867816 249.22458293459636 0.045112614328415034 1.872 satellite-rising
111538.0 no 19.412499999999998 2019 1 20 12 73.6 102.2 30.0 5.0 11.333912134811662 0.8952054288172148 58.88754350890781 0.0755166103736809 1.826 satellite-falling
