epoch good_track epoch_time year month day id_sat Azi_ini Azi_end ele_ini ele_end A desvA Phi desvPhi ref_height SatelliteDirection
2369.0 yes 11.78888888888889 2019 1 14 15 281.1 300.1 5.0 30.0 -28.3431042110303 0.9770075146843575 25.11831679272234 0.034468966481176644 1.827 satellite-rising
6287.0 yes 17.230555555555554 2019 1 14 15 170.9 169.0 30.0 5.0 42.05649380106566 1.1997698348020462 212.3617285659093 0.028603368448812085 1.825 satellite-falling
19599.0 yes 11.719444444444445 2019 1 15 15 281.0 300.1 5.0 30.0 -29.27220640754878 1.0287612941674247 22.5219073235819 0.0350767393381446 1.827 satellite-rising
23518.0 no 17.162499999999998 2019 1 15 15 170.9 169.0 29.9 5.0 -46.496188732967376 1.3170662047002522 38.866952851215046 0.028512457537783736 1.827 satellite-falling
36829.0 yes 11.65 2019 1 16 15 281.0 300.1 5.0 30.0 -28.96685832015718 0.9963580565790704 23.11257400353952 0.03434600884813049 1.827 satellite-rising
40748.0 yes 17.093055555555555 2019 1 16 15 170.9 169.0 29.9 5.0 40.20826540319804 1.2009138761870193 212.3726739861761 0.029947546113098564 1.827 satellite-falling
54058.0 yes 11.579166666666666 2019 1 17 15 281.0 300.1 5.0 30.0 -29.442153322060527 0.9945015343716931 23.91268253251758 0.03371862526290836 1.825 satellite-rising
57978.0 yes 17.02361111111111 2019 1 17 15 170.9 169.0 29.9 5.0 40.581779410307774 1.2373477620546922 212.08207573715322 0.03058084071430751 1.827 satellite-falling
71288.0 yes 11.509722222222223 2019 1 18 15 281.0 300.1 5.0 30.0 -29.80503581048259 1.0006654814358407 24.3140240054571 0.03353660053869252 1.825 satellite-rising
75208.0 yes 16.954166666666666 2019 1 18 15 170.9 169.0 30.0 5.0 41.35001519753724 1.25507896283043 211.33313539908545 0.030396251415044248 1.825 satellite-falling
88518.0 yes 11.440277777777778 2019 1 19 15 281.0 300.1 5.0 30.0 29.40661156908362 0.9407996598110735 201.39749844966366 0.03190916117789722 1.825 satellite-rising
92438.0 yes 16.884722222222223 2019 1 19 15 170.9 169.0 30.0 5.0 40.56960508642857 1.2058455023967671 211.16976314649492 0.029769171736488787 1.825 satellite-falling
105748.0 yes 11.370833333333334 2019 1 20 15 281.0 300.1 5.0 30.0 -30.48320478424555 0.9870122031801989 24.062531329010312 0.032369665698616074 1.826 satellite-rising
109668.0 yes 16.81527777777778 2019 1 20 15 170.8 169.0 30.0 5.0 39.819959336985924 1.1816968699086612 210.42204501122706 0.029711905609403733 1.825 satellite-falling
