epoch good_track epoch_time year month day id_sat Azi_ini Azi_end ele_ini ele_end A desvA Phi desvPhi ref_height SatelliteDirection
1730.0 no 10.901388888888889 2019 1 14 28 149.6 133.1 8.4 30.0 19.369474631933915 0.7122474173700092 210.26828217648446 0.03744344321623428 1.752 satellite-rising
4459.0 yes 14.691666666666666 2019 1 14 28 45.0 43.5 30.0 5.0 -27.426010286468117 0.8676954315474407 68.75992471759923 0.03235499488980901 1.826 satellite-falling
13251.0 no 2.9027777777777777 2019 1 15 28 322.1 244.3 13.9 5.0 11.41796730692608 0.5010541502116034 200.97562258167466 0.04356510740514206 1.832 satellite-falling
19010.0 no 10.901388888888889 2019 1 15 28 148.6 133.1 9.9 30.0 16.983390711704605 0.7907196406132916 207.52320789349335 0.04730143269256089 1.712 satellite-rising
21691.0 yes 14.625 2019 1 15 28 45.0 43.5 29.9 5.0 26.728856482629332 0.9097649991596749 249.01770104417915 0.034841061788689114 1.828 satellite-falling
30531.0 no 2.9027777777777777 2019 1 16 28 321.1 244.3 15.1 5.0 11.366772808439366 0.49785750654881344 201.16314920515322 0.043781920657435386 1.833 satellite-falling
36290.0 no 10.901388888888889 2019 1 16 28 147.5 133.2 11.4 30.0 -15.534666892568593 0.7488269045572085 31.222778396150716 0.04906271073851685 1.731 satellite-rising
38922.0 yes 14.556944444444445 2019 1 16 28 45.0 43.5 30.0 5.0 -27.33598577051621 0.9019231603308224 68.11594752292456 0.033465934219256886 1.826 satellite-falling
47811.0 no 2.9027777777777777 2019 1 17 28 320.1 244.3 16.2 5.0 -11.87496315607122 0.49984179546671986 22.33038207186098 0.042090326987160885 1.833 satellite-falling
53570.0 no 10.901388888888889 2019 1 17 28 146.4 133.2 12.9 30.0 15.370440750853955 0.763209054724569 209.87116720930703 0.06787414524272511 1.753 satellite-rising
56153.0 yes 14.488888888888889 2019 1 17 28 45.0 43.5 30.0 5.0 -27.662907526855605 0.9128162346961192 66.97899158341488 0.033661807921290664 1.826 satellite-falling
65091.0 no 2.9027777777777777 2019 1 18 28 319.0 244.3 17.3 5.0 11.170494857851502 0.4958889390666518 201.51698984248495 0.0442094219224169 1.833 satellite-falling
70850.0 no 10.901388888888889 2019 1 18 28 145.4 133.2 14.4 30.0 -12.700297950348771 0.7751996838260921 26.336424727524218 0.0616705625723039 1.705 satellite-rising
73385.0 yes 14.422222222222222 2019 1 18 28 45.0 43.5 29.9 5.0 27.936236493472073 0.8876155879469249 244.03373924279612 0.05125248230234636 1.828 satellite-falling
82371.0 no 2.9027777777777777 2019 1 19 28 317.8 244.3 18.3 5.0 11.199234730682816 0.5291540654155401 199.23703387101884 0.04771440954107586 1.834 satellite-falling
88130.0 no 10.901388888888889 2019 1 19 28 144.3 133.2 15.9 30.0 -10.94765669026708 0.7905754030787944 22.457218190011037 0.07243895870911542 1.732 satellite-rising
90616.0 yes 14.354166666666666 2019 1 19 28 45.0 43.5 30.0 5.0 -26.89442641096494 0.8966956628408653 65.58979074194349 0.03399839167113347 1.825 satellite-falling
99068.0 no 2.093055555555556 2019 1 20 28 327.2 244.3 5.0 5.0 15.36022148237581 0.4735655923736833 210.02805948921213 0.030155095334248587 1.832 satellite-rising
105410.0 no 10.901388888888889 2019 1 20 28 143.2 133.2 17.5 30.0 -9.760409914867394 0.8676956093778425 6.305360540620046 0.0869025749813458 0.906 satellite-rising
107847.0 yes 14.286111111111111 2019 1 20 28 45.0 43.5 30.0 5.0 -26.894621585897102 0.8755785895010018 64.84660689073553 0.033201508306726905 1.825 satellite-falling
