epoch good_track epoch_time year month day id_sat Azi_ini Azi_end ele_ini ele_end A desvA Phi desvPhi ref_height SatelliteDirection
6190.0 yes 17.09583333333333 2019 1 14 29 190.9 191.0 5.0 30.0 -28.30794702905974 1.182422351592676 66.95474257233991 0.042610469760200616 1.873 satellite-rising
9922.0 no 22.279166666666665 2019 1 14 29 57.2 71.8 30.0 13.7 -34.40053729233929 1.0491835017559876 93.85138117543329 0.03060423974246629 1.846 satellite-falling
23420.0 yes 17.02638888888889 2019 1 15 29 190.9 191.0 5.0 30.0 -27.965161147122036 1.227404868898105 68.51108905652427 0.04477882894632047 1.873 satellite-rising
27152.0 no 22.209722222222222 2019 1 15 29 57.2 73.0 30.0 12.4 -31.041861130406243 1.018920333521645 89.63379593156697 0.0334274854988841 1.838 satellite-falling
40650.0 yes 16.956944444444442 2019 1 16 29 190.9 190.9 5.0 30.0 -27.236990030455132 1.1538037081143409 67.27207115791418 0.04321673357525946 1.873 satellite-rising
44381.0 no 22.13888888888889 2019 1 16 29 57.2 74.3 30.0 11.1 32.07881089487479 1.0518055361803842 212.77504013461748 0.12108061307173251 1.829 satellite-falling
57891.0 yes 16.902777777777775 2019 1 17 29 190.8 190.9 5.4 30.0 -27.976730625582263 1.159039022007843 71.5760627729976 0.04195465000123706 1.856 satellite-rising
61611.0 no 22.069444444444443 2019 1 17 29 57.2 75.6 30.0 9.8 31.126994149063147 1.090543105889627 269.7572993744325 0.042038792111160364 1.882 satellite-falling
75171.0 yes 16.902777777777775 2019 1 18 29 190.6 190.9 7.1 30.0 -25.362979987953945 1.1583200881664728 69.79730734038526 0.04594272112757107 1.901 satellite-rising
78840.0 no 21.998611111111114 2019 1 18 29 57.2 76.9 30.0 8.5 -31.534137393757423 0.9947937517335956 84.61106759636596 0.03163274271846454 1.872 satellite-falling
92451.0 no 16.902777777777775 2019 1 19 29 190.5 190.9 8.9 30.0 -25.00860751471844 0.9691425270898021 83.06326608971312 0.03861801060221003 1.9 satellite-rising
96070.0 yes 21.929166666666667 2019 1 19 29 57.2 78.2 30.0 7.3 -29.05126253614193 1.1091444533956138 79.04649989031577 0.03814563268688265 1.866 satellite-falling
109731.0 no 16.902777777777775 2019 1 20 29 190.4 190.8 10.6 30.0 -23.960720719995276 0.9818025738057854 81.05793640210004 0.0410867735816307 1.9 satellite-rising
113299.0 yes 21.858333333333334 2019 1 20 29 57.1 79.4 30.0 6.0 -29.238819346326324 1.1318653082391363 74.98785717164537 0.038810772466428514 1.86 satellite-falling
