epoch good_track epoch_time year month day id_sat Azi_ini Azi_end ele_ini ele_end A desvA Phi desvPhi ref_height SatelliteDirection
7491.0 no 18.902777777777775 2019 1 14 31 309.4 312.6 14.6 30.0 -14.857134714984845 0.9048433930810121 54.58752649260805 0.06287144781022182 1.808 satellite-rising
24771.0 no 18.902777777777775 2019 1 15 31 310.0 312.6 16.2 30.0 -13.664087624937007 0.9024107703983346 48.66699940368369 0.06834677127709196 1.858 satellite-rising
27731.0 no 23.01388888888889 2019 1 15 31 201.8 191.3 30.0 6.4 -23.44506683270865 1.0937761993508466 74.27175875463718 0.047550986751855734 1.893 satellite-falling
42051.0 no 18.902777777777775 2019 1 16 31 310.4 312.6 17.8 30.0 -13.010302194445913 1.0136557167325533 53.324340663092585 0.08084127984416643 1.919 satellite-rising
45011.0 no 23.01388888888889 2019 1 16 31 201.8 191.3 30.0 6.5 -26.095017809021954 1.0987402448022068 238.38312944313998 0.050711713152478494 1.846 satellite-falling
62241.0 yes 22.944444444444446 2019 1 17 31 201.8 190.5 30.0 5.0 26.420209713171957 1.0506680935855692 57.80974388926529 0.04044785240992038 1.871 satellite-falling
93324.0 yes 18.11527777777778 2019 1 19 31 305.1 312.6 5.0 30.0 -27.882199963706192 0.9864357792919111 41.42558015405916 0.03558166510201723 1.827 satellite-rising
110553.0 yes 18.044444444444448 2019 1 20 31 305.1 312.6 5.0 30.0 -28.682514577504683 0.9894791256768602 40.862761178006394 0.03487937967378584 1.825 satellite-rising
113881.0 no 22.666666666666668 2019 1 20 31 201.7 190.4 29.9 5.0 -24.84266743410558 1.0551217220350186 61.429874411721585 0.04326920875628206 1.873 satellite-falling
