epoch good_track epoch_time year month day id_sat Azi_ini Azi_end ele_ini ele_end A desvA Phi desvPhi ref_height SatelliteDirection
1708.0 yes 10.870833333333334 2019 1 14 6 199.0 188.8 29.9 5.0 16.8499071934446 0.871209430850021 250.9118462437532 0.053747484136614745 1.92 satellite-falling
15716.0 no 6.326388888888888 2019 1 15 6 306.5 313.2 9.0 30.0 -15.455424644364744 0.6633072645816473 42.37746860981224 0.042982037816234754 1.854 satellite-rising
18940.0 yes 10.804166666666667 2019 1 15 6 199.1 188.8 29.9 5.0 16.40943854888923 0.9060130185965666 255.09050037991642 0.05634977002883177 1.92 satellite-falling
32951.0 no 6.263888888888889 2019 1 16 6 306.5 313.2 9.0 30.0 14.856845586181329 0.6894360489629491 219.54628919340303 0.046339823561648875 1.862 satellite-rising
36172.0 yes 10.737499999999999 2019 1 16 6 199.1 188.9 29.9 5.0 16.817145458735382 0.9190040200122812 253.5895885850539 0.05577472704670535 1.92 satellite-falling
50183.0 no 6.197222222222223 2019 1 17 6 306.5 313.2 9.0 30.0 15.376076339535079 0.6790661739905042 220.15453503868974 0.04414936177662143 1.859 satellite-rising
53404.0 yes 10.670833333333333 2019 1 17 6 199.1 188.9 29.9 5.0 -18.47728500230876 0.9500002560385805 73.2058272355257 0.05247626173370654 1.92 satellite-falling
67415.0 no 6.1305555555555555 2019 1 18 6 306.6 313.3 9.0 30.0 -16.207182065644435 0.6879027121167646 42.84689181193312 0.042431848518464196 1.859 satellite-rising
70636.0 yes 10.604166666666666 2019 1 18 6 199.1 188.9 29.9 5.0 -17.925805887371737 0.9408531755528285 73.78554947954524 0.053572057414127176 1.92 satellite-falling
84647.0 no 6.063888888888889 2019 1 19 6 306.6 313.3 9.0 30.0 -15.090087735572427 0.6496659997944195 40.02722320248006 0.043088331448137916 1.856 satellite-rising
87867.0 yes 10.536111111111111 2019 1 19 6 199.2 188.9 30.0 5.0 -17.75908887078452 0.9401406000177414 75.3251673218075 0.05400970465224049 1.918 satellite-falling
101879.0 no 5.997222222222223 2019 1 20 6 306.6 313.3 9.0 30.0 15.590138960449368 0.7502057171783991 220.1037509806767 0.04816541645771427 1.856 satellite-rising
105099.0 yes 10.469444444444445 2019 1 20 6 199.2 189.0 30.0 5.0 16.87045753015756 0.9599436515324811 257.061526110926 0.058046683713743365 1.918 satellite-falling
