epoch good_track epoch_time year month day id_sat Azi_ini Azi_end ele_ini ele_end A desvA Phi desvPhi ref_height SatelliteDirection
290.0 no 8.901388888888889 2019 1 14 30 182.6 180.6 16.5 30.0 -17.91858297481414 1.1201704629461624 70.79904935926788 0.06275616102259798 1.723 satellite-rising
3587.0 yes 13.480555555555556 2019 1 14 30 54.9 71.7 30.0 5.0 27.639572252272558 0.869617304204153 255.64980523579243 0.03208771580730813 1.871 satellite-falling
20818.0 yes 13.4125 2019 1 15 30 54.9 71.7 29.9 5.0 28.440458378349156 0.8495994367049259 258.4648403529068 0.030471396605822425 1.873 satellite-falling
38048.0 no 13.343055555555557 2019 1 16 30 54.9 71.7 30.0 5.0 3.8649887247120702 0.9380041162302198 104.7682915361753 0.03928318763344611 1.873 satellite-falling
55278.0 yes 13.273611111111112 2019 1 17 30 54.9 71.7 30.0 5.0 -27.87675232319261 0.9048708287114673 72.33497864566311 0.03310345890574859 1.871 satellite-falling
68868.0 no 8.14861111111111 2019 1 18 30 185.1 180.6 5.0 30.0 -23.856448370732675 0.982780942805219 56.262095710489234 0.041849435247395775 1.826 satellite-rising
72509.0 yes 13.205555555555556 2019 1 18 30 54.9 71.7 29.9 5.0 -27.567738194971344 0.9591963300064106 68.04323043520293 0.03548350905981232 1.827 satellite-falling
86129.0 no 8.122222222222224 2019 1 19 30 184.9 180.5 6.0 30.0 -23.124069183958262 0.9998766277418091 55.120046692715505 0.04321555961618652 1.807 satellite-rising
89739.0 yes 13.136111111111111 2019 1 19 30 54.9 71.7 30.0 5.0 27.610553448347417 0.8952741579657721 257.02383604173906 0.03307081200828451 1.873 satellite-falling
103329.0 yes 8.011111111111111 2019 1 20 30 185.1 180.5 5.0 30.0 -24.032257837267537 0.9681550061977039 53.57241190140735 0.041113406810506216 1.827 satellite-rising
106970.0 yes 13.068055555555555 2019 1 20 30 54.9 71.7 29.9 5.0 -25.711411076896166 0.8866226953790765 67.28740898123147 0.03515609832292909 1.826 satellite-falling
